Clove.benefit.score;Region;Remoteness;village.size;School;Forest.cover2017;Forest.cover1990;Gender;Agegroup;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants
0;2;3;1;0;30-70;>70;1;31-40;Primary;2;0;1;0;1;0
0;2;3;1;0;30-70;>70;1;31-40;Primary;2;1;0;0;0;0
0;2;3;1;0;30-70;>70;0;>70;None;1;0;1;0;1;0
0;2;3;1;0;30-70;>70;1;21-30;Primary;2;1;1;0;1;0
1;2;3;1;0;30-70;>70;1;31-40;Primary;1;0;1;0;1;0
0;2;3;1;0;30-70;>70;1;21-30;Secondary;1;1;1;0;1;0
1;2;3;3;0;30-70;>70;1;41-50;Primary;1;0;1;1;1;0
1;2;3;3;0;30-70;>70;1;41-50;Primary;1;0;1;0;1;0
0;2;3;3;0;30-70;>70;0;31-40;Primary;2;1;0;0;1;0
0;2;3;3;0;30-70;>70;1;31-40;Primary;1;0;1;1;1;0
0;2;3;3;0;30-70;>70;1;21-30;Primary;3;0;1;0;1;0
0;2;3;3;0;30-70;>70;1;21-30;None;2;1;0;0;1;0
1;2;3;3;0;30-70;>70;1;31-40;Primary;1;0;1;0;1;0
0;2;3;3;0;30-70;>70;0;31-40;Primary;2;0;0;0;1;1
0;2;3;3;0;30-70;>70;0;31-40;Primary;1;0;1;1;0;0
1;2;3;3;0;30-70;>70;1;41-50;Primary;2;1;1;1;1;1
1;2;3;3;0;30-70;>70;1;31-40;Primary;1;0;1;0;1;1
1;2;3;3;0;30-70;>70;1;31-40;Primary;1;1;1;0;1;1
0;2;3;3;0;30-70;>70;0;31-40;Secondary;3;1;0;1;0;0
0;2;3;3;0;30-70;>70;1;61-70;None;1;1;1;0;1;1
1;2;3;3;0;30-70;>70;1;14-20;Secondary;1;0;1;1;1;1
1;2;3;3;0;30-70;>70;1;41-50;Primary;1;0;1;1;0;1
0;2;3;3;0;30-70;>70;0;14-20;Primary;1;0;1;1;0;0
0;2;3;3;0;30-70;>70;0;31-40;None;1;0;1;0;1;1
0;2;3;3;0;30-70;>70;0;21-30;Secondary;1;0;1;0;0;1
0;2;3;3;0;30-70;>70;1;51-60;Secondary;2;1;1;1;1;0
1;2;3;4;1;30-70;>70;1;51-60;Primary;1;0;1;1;1;1
1;2;3;4;1;30-70;>70;1;51-60;Secondary;1;0;1;1;0;1
1;2;3;4;1;30-70;>70;0;21-30;Primary;1;0;1;0;1;1
1;2;3;4;1;30-70;>70;1;31-40;Primary;1;0;1;0;1;1
1;2;3;4;1;30-70;>70;1;31-40;High;2;1;0;1;0;1
0;2;3;4;1;30-70;>70;0;21-30;Primary;1;0;1;1;0;1
0;2;3;4;1;30-70;>70;0;31-40;None;1;0;1;1;1;1
0;2;3;4;1;30-70;>70;1;31-40;Secondary;1;0;1;1;1;1
0;2;3;4;1;30-70;>70;0;31-40;Primary;2;0;1;0;1;1
1;2;3;4;1;30-70;>70;0;21-30;Secondary;1;0;1;0;1;1
1;2;3;4;1;30-70;>70;1;>70;None;1;0;1;1;1;1
1;2;3;4;1;30-70;>70;1;51-60;Secondary;1;0;1;1;1;1
0;2;4;3;1;<30;30-70;1;21-30;Secondary;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;1;51-60;Secondary;1;0;1;0;1;0
1;2;4;3;1;<30;30-70;1;41-50;Secondary;1;1;1;0;1;1
0;2;4;3;1;<30;30-70;1;61-70;Primary;1;0;1;1;0;1
0;2;4;3;1;<30;30-70;0;51-60;None;1;0;0;0;1;1
1;2;4;3;1;<30;30-70;0;41-50;Primary;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;1;31-40;None;1;0;1;0;1;0
0;2;4;3;1;<30;30-70;1;>70;None;2;0;1;0;1;0
1;2;4;3;1;<30;30-70;1;31-40;Secondary;3;1;1;0;1;0
0;2;4;3;1;<30;30-70;0;21-30;None;2;0;1;0;1;0
0;2;4;3;1;<30;30-70;1;51-60;None;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;0;21-30;None;1;0;1;0;1;0
0;2;4;3;1;<30;30-70;1;21-30;Primary;1;0;1;0;1;0
0;2;4;3;1;<30;30-70;1;14-20;Primary;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;1;61-70;None;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;1;61-70;None;1;0;1;0;1;1
0;2;4;3;1;<30;30-70;1;31-40;Primary;1;0;1;0;1;0
1;2;4;3;1;<30;30-70;1;21-30;Secondary;1;0;1;0;1;0
0;2;4;3;1;<30;30-70;1;31-40;None;1;0;1;0;1;0
1;2;4;3;1;<30;30-70;1;31-40;None;1;0;1;0;1;0
1;2;4;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;1
1;2;4;3;0;<30;30-70;1;21-30;Primary;1;0;1;0;1;0
0;2;4;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;0
0;2;4;3;0;<30;30-70;0;21-30;Primary;1;0;1;1;0;0
0;2;4;3;0;<30;30-70;1;14-20;Secondary;1;0;1;1;1;0
1;2;4;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;1
0;2;4;3;0;<30;30-70;1;41-50;Secondary;1;1;1;0;1;0
0;2;4;3;0;<30;30-70;1;14-20;Primary;1;1;1;1;1;0
1;2;4;3;0;<30;30-70;1;31-40;Primary;1;1;0;0;1;0
0;2;4;3;0;<30;30-70;0;14-20;Primary;1;0;1;0;1;0
0;2;4;3;0;<30;30-70;0;31-40;None;1;0;1;0;1;1
0;2;4;3;0;<30;30-70;0;31-40;None;1;0;1;0;1;1
0;2;4;3;0;<30;30-70;1;41-50;None;2;1;0;1;0;0
0;2;4;3;0;<30;30-70;0;21-30;Primary;1;0;1;1;1;1
0;2;4;3;0;<30;30-70;1;31-40;Secondary;2;1;1;0;1;0
0;2;4;3;0;<30;30-70;1;51-60;None;1;0;1;1;1;1
0;2;4;3;0;<30;30-70;1;21-30;Secondary;1;0;1;1;1;1
0;2;4;3;0;<30;30-70;0;31-40;Secondary;1;0;1;1;0;1
0;2;4;3;0;<30;30-70;1;31-40;Primary;1;0;0;1;0;0
0;2;4;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;0
0;3;3;2;1;30-70;>70;1;41-50;None;1;0;1;0;1;0
0;3;3;2;1;30-70;>70;0;14-20;Secondary;1;1;0;0;1;0
0;3;3;2;1;30-70;>70;0;51-60;None;1;0;1;1;0;0
0;3;3;2;1;30-70;>70;0;21-30;Primary;1;1;1;1;0;0
1;3;3;2;1;30-70;>70;0;21-30;Primary;1;1;1;1;0;0
0;3;3;2;1;30-70;>70;1;31-40;None;1;0;1;0;1;0
0;3;3;2;1;30-70;>70;0;41-50;None;1;1;1;1;1;0
0;3;3;2;1;30-70;>70;0;31-40;None;3;0;1;0;1;1
1;3;3;2;1;30-70;>70;1;31-40;None;1;0;1;0;1;1
0;3;3;2;1;30-70;>70;1;21-30;Secondary;1;1;0;1;0;0
0;3;3;2;1;30-70;>70;0;21-30;Primary;1;1;1;0;1;0
1;3;3;2;1;30-70;>70;1;14-20;Primary;1;0;1;0;1;0
1;3;3;2;1;30-70;>70;1;21-30;Primary;1;0;1;0;1;1
0;3;3;2;1;30-70;>70;1;21-30;Primary;1;0;1;0;1;0
0;3;3;2;1;30-70;>70;1;51-60;None;3;0;1;1;0;0
0;3;3;2;1;30-70;>70;1;21-30;Primary;2;0;1;0;1;0
1;3;3;2;1;30-70;>70;1;31-40;None;1;0;1;0;1;0
1;3;3;2;1;30-70;>70;1;31-40;Primary;1;0;1;0;1;0
0;3;3;2;1;30-70;>70;1;61-70;Primary;1;0;1;1;1;0
0;3;3;2;1;30-70;>70;1;21-30;Primary;1;0;1;0;1;0
1;3;3;3;0;<30;30-70;1;41-50;Secondary;1;0;1;0;1;0
1;3;3;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;1
0;3;3;3;0;<30;30-70;1;>70;None;1;0;1;0;1;1
0;3;3;3;0;<30;30-70;1;51-60;Primary;1;1;1;1;0;0
0;3;3;3;0;<30;30-70;0;21-30;Secondary;1;0;1;0;1;0
1;3;3;3;0;<30;30-70;1;21-30;High;1;0;1;1;1;0
0;3;3;3;0;<30;30-70;1;41-50;Primary;1;0;1;0;1;1
0;3;3;3;0;<30;30-70;0;21-30;Primary;1;1;1;0;1;0
0;3;3;3;0;<30;30-70;0;31-40;None;1;0;1;1;0;0
0;3;3;3;0;<30;30-70;0;14-20;Primary;1;0;1;0;0;0
0;3;3;3;0;<30;30-70;0;31-40;None;1;0;1;1;0;0
1;3;3;3;0;<30;30-70;1;14-20;Primary;1;0;1;0;1;0
0;3;3;3;0;<30;30-70;1;31-40;Secondary;1;0;1;0;1;1
0;3;3;3;0;<30;30-70;0;21-30;Primary;1;0;1;1;1;0
0;3;3;3;0;<30;30-70;0;21-30;None;1;1;1;0;1;0
1;3;3;3;0;<30;30-70;1;21-30;Primary;1;0;1;1;0;0
1;3;3;3;0;<30;30-70;1;31-40;Primary;1;0;1;0;1;0
1;3;3;3;0;<30;30-70;0;51-60;Primary;1;1;1;0;1;0
0;3;3;3;0;<30;30-70;0;21-30;None;1;1;1;0;0;0
0;3;3;3;0;<30;30-70;0;21-30;High;1;1;1;1;1;0
1;3;3;4;1;<30;30-70;1;41-50;None;1;0;1;1;0;0
1;3;3;4;1;<30;30-70;1;31-40;Secondary;1;1;1;1;0;0
0;3;3;4;1;<30;30-70;1;21-30;Primary;1;0;1;0;1;0
0;3;3;4;1;<30;30-70;0;31-40;None;1;0;1;1;0;0
0;3;3;4;1;<30;30-70;0;41-50;Primary;1;1;1;0;1;0
0;3;3;4;1;<30;30-70;0;21-30;High;1;1;1;0;0;0
0;3;3;4;1;<30;30-70;0;51-60;Primary;1;0;1;0;1;0
0;3;3;4;1;<30;30-70;1;21-30;Primary;1;0;1;0;1;0
0;3;3;4;1;<30;30-70;1;51-60;None;1;0;1;1;1;0
0;3;3;4;1;<30;30-70;1;21-30;Secondary;1;1;1;0;0;0
1;3;3;4;1;<30;30-70;0;14-20;Primary;1;0;0;1;1;0
1;3;3;4;1;<30;30-70;1;>70;None;1;0;1;0;1;0
0;3;3;4;1;<30;30-70;0;41-50;None;2;0;1;1;1;0
1;3;3;4;1;<30;30-70;1;41-50;Primary;1;0;1;1;0;0
0;3;3;4;1;<30;30-70;1;31-40;Primary;1;0;1;1;0;0
1;3;3;4;1;<30;30-70;1;21-30;Primary;1;1;1;1;1;0
0;3;3;4;1;<30;30-70;1;14-20;Secondary;1;0;1;1;1;0
0;3;3;4;1;<30;30-70;1;14-20;Secondary;1;0;0;0;1;0
1;3;3;4;1;<30;30-70;1;21-30;Primary;1;1;1;0;1;0
1;3;3;4;1;<30;30-70;1;21-30;High;1;0;1;0;0;0
0;3;3;2;1;<30;<30;1;21-30;None;1;0;1;0;1;0
0;3;3;2;1;<30;<30;1;41-50;Primary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;1;51-60;Primary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;0;14-20;Secondary;1;0;1;0;1;0
1;3;3;2;1;<30;<30;1;21-30;Primary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;1;21-30;Secondary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;1;21-30;Secondary;1;0;1;0;1;0
1;3;3;2;1;<30;<30;1;21-30;High;1;0;1;0;1;0
1;3;3;2;1;<30;<30;1;14-20;Primary;1;1;1;0;1;0
0;3;3;2;1;<30;<30;1;21-30;Primary;1;0;1;1;1;0
0;3;3;2;1;<30;<30;1;14-20;Secondary;1;0;1;1;1;0
1;3;3;2;1;<30;<30;1;>70;Primary;1;1;1;1;0;0
1;3;3;2;1;<30;<30;0;21-30;Secondary;1;1;1;0;1;0
0;3;3;2;1;<30;<30;0;14-20;Secondary;1;1;1;0;1;0
0;3;3;2;1;<30;<30;0;21-30;Primary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;0;21-30;Primary;1;0;1;1;1;1
0;3;3;2;1;<30;<30;1;21-30;Primary;1;0;1;0;1;0
0;3;3;2;1;<30;<30;0;21-30;None;1;0;1;1;1;0
0;3;3;2;1;<30;<30;1;>70;None;1;0;1;0;1;0
0;3;3;2;1;<30;<30;1;21-30;Primary;1;0;1;1;0;0
1;3;3;4;1;<30;<30;1;31-40;Primary;1;0;1;0;0;0
0;3;2;4;1;<30;<30;0;31-40;None;1;0;0;0;0;0
1;3;2;4;1;<30;<30;1;21-30;None;1;0;1;1;0;0
0;3;2;4;1;<30;<30;0;14-20;Secondary;2;0;1;0;1;0
1;3;2;4;1;<30;<30;0;21-30;Primary;1;1;1;0;0;0
1;3;2;4;1;<30;<30;1;21-30;Secondary;1;0;1;1;0;0
1;3;2;4;1;<30;<30;1;51-60;Primary;1;0;1;0;1;0
0;3;2;4;1;<30;<30;0;41-50;Primary;1;1;1;1;1;0
0;3;2;4;1;<30;<30;1;21-30;Primary;1;1;1;0;1;0
0;3;2;4;1;<30;<30;0;21-30;Primary;1;0;1;0;1;0
1;3;2;4;1;<30;<30;1;41-50;Primary;1;1;1;1;0;1
0;3;2;4;1;<30;<30;0;31-40;Primary;1;1;1;0;1;0
0;3;2;4;1;<30;<30;1;14-20;Secondary;3;0;1;1;1;0
1;3;2;4;1;<30;<30;1;21-30;High;1;0;1;0;1;0
0;3;2;4;1;<30;<30;0;41-50;Primary;1;0;1;0;1;0
1;3;2;4;1;<30;<30;1;51-60;High;1;1;1;0;1;1
1;3;2;4;1;<30;<30;1;21-30;Primary;1;0;1;0;1;0
0;3;2;4;1;<30;<30;0;14-20;Primary;1;0;1;0;0;0
1;3;2;4;1;<30;<30;1;14-20;High;1;0;1;0;1;0
0;3;2;4;1;<30;<30;1;14-20;Primary;1;0;1;0;1;0
0;3;2;4;1;<30;<30;0;21-30;None;1;1;1;0;1;0
0;3;2;2;0;<30;<30;1;21-30;Secondary;1;1;1;0;1;0
0;3;2;2;0;<30;<30;0;41-50;None;1;1;1;0;1;0
0;3;2;2;0;<30;<30;0;14-20;None;1;0;1;1;1;0
1;3;2;2;0;<30;<30;0;51-60;None;2;0;1;0;1;1
0;3;2;2;0;<30;<30;1;21-30;Primary;1;0;1;1;1;0
0;3;2;2;0;<30;<30;1;21-30;Primary;1;0;1;1;0;0
0;3;2;2;0;<30;<30;0;31-40;None;1;1;1;1;1;0
0;3;2;2;0;<30;<30;1;21-30;Primary;3;0;1;0;1;0
1;3;2;2;0;<30;<30;1;21-30;Primary;1;1;1;0;1;0
1;3;2;2;0;<30;<30;1;14-20;Primary;1;1;1;0;1;0
0;3;2;2;0;<30;<30;0;51-60;None;1;0;1;1;0;1
1;3;2;2;0;<30;<30;1;31-40;Primary;1;0;1;0;0;0
0;3;2;2;0;<30;<30;1;51-60;Primary;1;0;1;1;0;1
1;3;2;2;0;<30;<30;0;51-60;None;1;0;1;0;1;0
0;3;2;2;0;<30;<30;0;61-70;None;2;0;1;0;1;0
1;3;2;2;0;<30;<30;1;31-40;None;1;1;1;0;1;0
0;3;2;2;0;<30;<30;1;14-20;Primary;1;0;1;0;1;0
1;3;2;2;0;<30;<30;1;31-40;Primary;2;0;1;0;1;0
1;3;2;2;0;<30;<30;1;51-60;None;1;0;1;0;1;0
1;3;2;2;0;<30;<30;1;14-20;Primary;1;0;1;0;1;0
